127.0.0.1 - - [14/Dec/2022:21:24:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:24:52 +0530] "GET /instagram/LoginHere.jsp HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:24:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:11 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:26:13 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:36:34 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:21:37:10 +0530] "-" 400 -
